facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-HIP-KNEE-HRRP,,nan,0.805,3.1025,3.8538,,2019-07-01,2022-06-30
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-HF-HRRP,92.0,nan,0.9923,19.0307,19.1779,17.0,2019-07-01,2022-06-30
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-PN-HRRP,,nan,0.9919,14.4306,14.548,,2019-07-01,2022-06-30
NOVATO COMMUNITY HOSPITAL,50131,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-HF-HRRP,115.0,nan,0.9816,21.9772,22.3891,24.0,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-COPD-HRRP,,nan,1.0054,18.661,18.5604,,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-HIP-KNEE-HRRP,,nan,1.2152,4.3353,3.5675,,2019-07-01,2022-06-30
SAN GABRIEL VALLEY MEDICAL CENTER,50132,CA,READM-30-PN-HRRP,320.0,nan,1.0059,18.9325,18.8209,61.0,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-HF-HRRP,608.0,nan,1.0693,21.2989,19.919,134.0,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-COPD-HRRP,201.0,nan,1.0234,20.1407,19.6799,42.0,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-CABG-HRRP,,nan,0.9707,11.0067,11.3384,,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0604,5.9621,5.6225,,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-PN-HRRP,467.0,nan,0.9799,16.3564,16.6917,75.0,2019-07-01,2022-06-30
ADVENTIST HEALTH AND RIDEOUT,50133,CA,READM-30-AMI-HRRP,171.0,nan,1.04,12.925,12.4273,24.0,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-HF-HRRP,106.0,nan,1.0855,25.6084,23.5915,33.0,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-AMI-HRRP,,nan,0.9468,18.5796,19.6232,,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-COPD-HRRP,107.0,nan,0.9799,21.8442,22.292,22.0,2019-07-01,2022-06-30
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-PN-HRRP,700.0,nan,1.0817,23.8765,22.073,173.0,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0472,4.4889,4.2868,,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-COPD-HRRP,,nan,1.0108,21.5898,21.3585,,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-PN-HRRP,106.0,nan,0.9593,16.8471,17.5627,15.0,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-HF-HRRP,105.0,nan,0.9014,18.9833,21.0606,13.0,2019-07-01,2022-06-30
PETALUMA VALLEY HOSPITAL,50136,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,50137,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-AMI-HRRP,,nan,1.0259,17.2051,16.771,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - LOS ANGELES,50138,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL - DOWNEY,50139,CA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-PN-HRRP,,nan,1.0316,19.2541,18.6648,,2019-07-01,2022-06-30
KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,50140,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-PN-HRRP,501.0,nan,0.98,15.841,16.1641,78.0,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-HF-HRRP,529.0,nan,0.9618,18.0605,18.7784,93.0,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-COPD-HRRP,102.0,nan,1.0059,17.2794,17.1777,18.0,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-AMI-HRRP,171.0,nan,1.0676,13.34,12.4954,26.0,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-CABG-HRRP,,nan,0.947,10.9495,11.5617,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,50145,CA,READM-30-HIP-KNEE-HRRP,290.0,nan,1.1695,5.3749,4.596,18.0,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-COPD-HRRP,,nan,1.0044,21.1217,21.0283,,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-HF-HRRP,64.0,nan,0.9629,21.2219,22.0399,11.0,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-PN-HRRP,,nan,0.9997,18.472,18.4771,,2019-07-01,2022-06-30
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-COPD-HRRP,110.0,nan,0.9549,15.319,16.0426,14.0,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-HF-HRRP,236.0,nan,1.0817,19.0174,17.5808,50.0,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0475,4.7666,4.5503,,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,READM-30-PN-HRRP,177.0,nan,0.9357,14.3798,15.3677,21.0,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-COPD-HRRP,55.0,nan,1.0909,25.1127,23.0193,20.0,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-HF-HRRP,63.0,nan,1.0538,21.3477,20.2576,17.0,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-PN-HRRP,87.0,nan,0.9767,15.6369,16.0098,12.0,2019-07-01,2022-06-30
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-HIP-KNEE-HRRP,,nan,1.1798,4.9591,4.2033,,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-PN-HRRP,119.0,nan,0.9822,18.717,19.057,21.0,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HF-HRRP,78.0,nan,0.9912,22.5825,22.7835,17.0,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-COPD-HRRP,,nan,1.0307,19.0025,18.4371,,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-PN-HRRP,,nan,0.9861,15.8744,16.0986,,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-HF-HRRP,100.0,nan,1.0342,19.7741,19.1199,22.0,2019-07-01,2022-06-30
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9357,3.0317,3.2401,,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-PN-HRRP,,nan,1.0063,16.1822,16.0807,,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-HF-HRRP,82.0,nan,1.0836,20.3385,18.7686,22.0,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-COPD-HRRP,,nan,1.0385,20.4456,19.6881,,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
SAN JOAQUIN GENERAL HOSPITAL,50167,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-COPD-HRRP,,nan,0.9294,19.3301,20.7985,,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9834,4.8025,4.8836,,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-CABG-HRRP,,nan,0.9774,9.792,10.0179,,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-HF-HRRP,310.0,nan,1.0614,21.2862,20.054,70.0,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-PN-HRRP,418.0,nan,0.9571,16.9959,17.7583,68.0,2019-07-01,2022-06-30
PROVIDENCE ST. JUDE MEDICAL CENTER,50168,CA,READM-30-AMI-HRRP,145.0,nan,0.8864,13.046,14.7184,13.0,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-HF-HRRP,333.0,nan,1.0424,21.3779,20.5089,74.0,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-COPD-HRRP,60.0,nan,1.05,19.7356,18.7957,15.0,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-AMI-HRRP,124.0,nan,1.0086,15.7765,15.6414,20.0,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-CABG-HRRP,,nan,0.9623,11.9903,12.4596,,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-HIP-KNEE-HRRP,,nan,0.8741,4.1803,4.7822,,2019-07-01,2022-06-30
PIH HEALTH HOSPITAL-WHITTIER,50169,CA,READM-30-PN-HRRP,213.0,nan,1.0193,17.6876,17.3535,39.0,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-HF-HRRP,491.0,nan,0.893,17.5994,19.7087,79.0,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-COPD-HRRP,100.0,nan,1.0109,20.2767,20.059,21.0,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-CABG-HRRP,,nan,1.0883,10.1605,9.336,,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-HIP-KNEE-HRRP,,nan,0.7986,4.0588,5.0824,,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-PN-HRRP,272.0,nan,0.9906,16.4147,16.571,44.0,2019-07-01,2022-06-30
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-AMI-HRRP,242.0,nan,0.8848,11.0776,12.52,21.0,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-HF-HRRP,334.0,nan,1.086,21.3925,19.6992,77.0,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-AMI-HRRP,206.0,nan,1.0209,15.0366,14.729,32.0,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-COPD-HRRP,74.0,nan,1.002,17.3929,17.3579,13.0,2019-07-01,2022-06-30
EMANUEL MEDICAL CENTER,50179,CA,READM-30-PN-HRRP,355.0,nan,1.0105,16.1378,15.9707,58.0,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-PN-HRRP,536.0,nan,1.0118,17.0142,16.8166,92.0,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-HIP-KNEE-HRRP,648.0,nan,0.8906,3.8211,4.2905,23.0,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-COPD-HRRP,76.0,nan,1.0189,21.9659,21.5582,18.0,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-HF-HRRP,591.0,nan,0.959,19.0829,19.8992,110.0,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-AMI-HRRP,,nan,0.997,13.0077,13.0467,,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-HF-HRRP,63.0,nan,1.0443,22.2477,21.3042,17.0,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-COPD-HRRP,,nan,1.0321,24.3549,23.5977,,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-AMI-HRRP,,nan,0.9445,16.4991,17.4684,,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-PN-HRRP,61.0,nan,1.0037,20.8696,20.7923,13.0,2019-07-01,2022-06-30
ST MARY MEDICAL CENTER,50191,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ADVENTIST HEALTH REEDLEY,50192,CA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-PN-HRRP,153.0,nan,1.0365,14.7848,14.2636,25.0,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-HF-HRRP,99.0,nan,1.1108,20.2842,18.2612,27.0,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-COPD-HRRP,,nan,1.029,19.3887,18.8425,,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
WATSONVILLE COMMUNITY HOSPITAL,50194,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-HIP-KNEE-HRRP,342.0,nan,0.9851,4.1607,4.2236,14.0,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-COPD-HRRP,129.0,nan,1.0981,20.8172,18.9569,33.0,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-CABG-HRRP,,nan,1.0831,11.6811,10.7847,,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-HF-HRRP,419.0,nan,1.1691,22.3197,19.0918,104.0,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-PN-HRRP,370.0,nan,1.2154,18.8193,15.4844,83.0,2019-07-01,2022-06-30
WASHINGTON HOSPITAL,50195,CA,READM-30-AMI-HRRP,157.0,nan,1.0914,16.9085,15.4922,31.0,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-PN-HRRP,139.0,nan,0.9332,14.1085,15.119,15.0,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-HF-HRRP,231.0,nan,0.9772,17.9638,18.3829,40.0,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-AMI-HRRP,,nan,0.9878,13.1031,13.2653,,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-CABG-HRRP,,nan,1.0011,10.8509,10.8386,,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
SEQUOIA HOSPITAL,50197,CA,READM-30-HIP-KNEE-HRRP,520.0,nan,0.7442,3.1671,4.2555,12.0,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9555,4.0141,4.2012,,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-HF-HRRP,138.0,nan,1.1433,24.4616,21.3949,43.0,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-COPD-HRRP,,nan,0.9783,17.8811,18.2779,,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-PN-HRRP,103.0,nan,1.0049,18.1172,18.0294,19.0,2019-07-01,2022-06-30
PALMDALE REGIONAL MEDICAL CENTER,50204,CA,READM-30-AMI-HRRP,,nan,1.0092,12.5866,12.472,,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-HF-HRRP,87.0,nan,0.977,17.8179,18.2368,14.0,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-PN-HRRP,125.0,nan,1.0089,17.9014,17.743,23.0,2019-07-01,2022-06-30
ALAMEDA HOSPITAL,50211,CA,READM-30-COPD-HRRP,,nan,1.0093,21.6837,21.483,,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-COPD-HRRP,81.0,nan,0.9988,18.6139,18.6359,15.0,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-CABG-HRRP,,nan,1.079,13.3668,12.3882,,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-HF-HRRP,324.0,nan,1.0004,20.3611,20.3521,66.0,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-AMI-HRRP,109.0,nan,1.0622,15.5796,14.6678,20.0,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-PN-HRRP,257.0,nan,1.1177,19.9122,17.816,59.0,2019-07-01,2022-06-30
SHARP CHULA VISTA MEDICAL CENTER,50222,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0593,5.0443,4.7619,,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-PN-HRRP,757.0,nan,0.9977,16.4011,16.4387,124.0,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-HF-HRRP,715.0,nan,0.9892,18.9806,19.1871,135.0,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-COPD-HRRP,132.0,nan,0.931,17.886,19.2122,19.0,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-AMI-HRRP,260.0,nan,0.9189,11.1741,12.1605,25.0,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-CABG-HRRP,,nan,0.9592,9.5404,9.9464,,2019-07-01,2022-06-30
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,50224,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
AHMC ANAHEIM REGIONAL MEDICAL CENTER,50226,CA,READM-30-COPD-HRRP,,nan,0.9787,17.167,17.5409,,2019-07-01,2022-06-30
AHMC ANAHEIM REGIONAL MEDICAL CENTER,50226,CA,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
