facility_name,facility_id,state,measurename,numberofdischarges,footnote,excessreadmissionratio,predictedreadmissionrate,expectedreadmissionrate,numberofreadmissions,start_date,end_date
SANTA BARBARA COTTAGE HOSPITAL,50396,CA,READM-30-COPD-HRRP,146.0,nan,0.9235,16.2852,17.635,17.0,2017-07-01,2019-12-01
SANTA BARBARA COTTAGE HOSPITAL,50396,CA,READM-30-HF-HRRP,518.0,nan,0.8812,17.5747,19.9434,83.0,2017-07-01,2019-12-01
SANTA BARBARA COTTAGE HOSPITAL,50396,CA,READM-30-HIP-KNEE-HRRP,364.0,nan,0.9245,3.4016,3.6796,11.0,2017-07-01,2019-12-01
SANTA BARBARA COTTAGE HOSPITAL,50396,CA,READM-30-PN-HRRP,587.0,nan,0.9418,13.995,14.8598,78.0,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-COPD-HRRP,60.0,nan,1.0199,15.6127,15.3087,11.0,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-HF-HRRP,67.0,nan,1.0329,19.3188,18.703,15.0,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CHINESE HOSPITAL,50407,CA,READM-30-PN-HRRP,108.0,nan,1.0078,13.3993,13.2962,15.0,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-AMI-HRRP,,nan,0.9989,18.9616,18.9827,,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-COPD-HRRP,152.0,nan,1.021,19.1882,18.7941,31.0,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-HF-HRRP,284.0,nan,1.1005,22.4228,20.3746,70.0,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-HIP-KNEE-HRRP,247.0,nan,1.3481,5.5265,4.0994,19.0,2017-07-01,2019-12-01
MERCY HOSPITAL OF FOLSOM,50414,CA,READM-30-PN-HRRP,290.0,nan,1.0791,15.7507,14.5957,51.0,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-COPD-HRRP,97.0,nan,0.9474,18.304,19.3202,13.0,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-HF-HRRP,131.0,nan,0.9371,20.0118,21.3548,22.0,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
SUTTER COAST HOSPITAL,50417,CA,READM-30-PN-HRRP,197.0,nan,0.84,13.2322,15.7532,14.0,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
PALO VERDE HOSPITAL,50423,CA,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-COPD-HRRP,,nan,0.9564,17.3415,18.1321,,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-HF-HRRP,72.0,nan,1.0268,19.8746,19.3552,16.0,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-HIP-KNEE-HRRP,1042.0,nan,0.847,2.967,3.5029,28.0,2017-07-01,2019-12-01
SCRIPPS GREEN HOSPITAL,50424,CA,READM-30-PN-HRRP,151.0,nan,1.0324,15.0961,14.6225,25.0,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-HF-HRRP,,nan,1.0247,22.6223,22.077,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,READM-30-PN-HRRP,,nan,0.9604,15.2228,15.8506,,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-AMI-HRRP,68.0,nan,1.0991,19.5204,17.7598,19.0,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-CABG-HRRP,,1.0,,,,,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-COPD-HRRP,82.0,nan,0.9813,20.3817,20.7702,15.0,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-HF-HRRP,182.0,nan,1.0802,25.6448,23.7402,52.0,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
WEST ANAHEIM MEDICAL CENTER,50426,CA,READM-30-PN-HRRP,423.0,nan,1.0051,20.2411,20.1394,86.0,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-AMI-HRRP,167.0,nan,0.9783,15.1462,15.4824,24.0,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-CABG-HRRP,,nan,1.1907,13.8757,11.6537,,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-COPD-HRRP,293.0,nan,1.0466,22.4514,21.4527,70.0,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-HF-HRRP,454.0,nan,1.0403,22.5485,21.6739,105.0,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-HIP-KNEE-HRRP,741.0,nan,0.8544,3.2097,3.7565,21.0,2017-07-01,2019-12-01
HUNTINGTON MEMORIAL HOSPITAL,50438,CA,READM-30-PN-HRRP,911.0,nan,0.9708,16.3698,16.8628,147.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-AMI-HRRP,239.0,nan,0.9711,14.5148,14.9461,33.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-CABG-HRRP,124.0,nan,0.9363,13.2423,14.1431,15.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-COPD-HRRP,93.0,nan,1.0326,21.6017,20.9197,23.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-HF-HRRP,511.0,nan,0.9474,21.247,22.4274,105.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-HIP-KNEE-HRRP,708.0,nan,0.9175,3.8894,4.2391,26.0,2017-07-01,2019-12-01
STANFORD HEALTH CARE,50441,CA,READM-30-PN-HRRP,516.0,nan,0.9527,15.9824,16.7761,79.0,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-AMI-HRRP,,nan,0.9606,16.4939,17.171,,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-COPD-HRRP,396.0,nan,1.0789,21.7494,20.1582,93.0,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-HF-HRRP,643.0,nan,1.142,24.5839,21.5275,167.0,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-HIP-KNEE-HRRP,327.0,nan,1.1865,5.1746,4.3611,20.0,2017-07-01,2019-12-01
MERCY MEDICAL CENTER,50444,CA,READM-30-PN-HRRP,928.0,nan,1.118,18.9544,16.9543,184.0,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-AMI-HRRP,126.0,nan,1.0011,15.8231,15.8061,20.0,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-CABG-HRRP,,nan,0.8837,13.8812,15.7082,,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-COPD-HRRP,95.0,nan,0.9909,19.7994,19.9804,18.0,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-HF-HRRP,473.0,nan,0.9667,21.4024,22.1386,99.0,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-HIP-KNEE-HRRP,513.0,nan,1.3163,5.0816,3.8606,31.0,2017-07-01,2019-12-01
UCSF MEDICAL CENTER,50454,CA,READM-30-PN-HRRP,482.0,nan,1.0451,17.8027,17.0345,89.0,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-AMI-HRRP,216.0,nan,0.9754,15.9633,16.3654,33.0,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-CABG-HRRP,,nan,0.9936,13.3477,13.433,,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-COPD-HRRP,161.0,nan,1.0197,21.8684,21.4464,37.0,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-HF-HRRP,300.0,nan,0.9717,21.6349,22.2651,63.0,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9302,3.6642,3.9393,,2017-07-01,2019-12-01
ADVENTIST HEALTH BAKERSFIELD,50455,CA,READM-30-PN-HRRP,383.0,nan,0.9737,16.6888,17.1391,62.0,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-AMI-HRRP,69.0,nan,1.0093,18.0367,17.8706,13.0,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-CABG-HRRP,,1.0,,,,,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-COPD-HRRP,61.0,nan,1.0461,24.1808,23.1146,19.0,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-HF-HRRP,240.0,nan,1.0158,22.4828,22.1335,55.0,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9291,3.9304,4.2303,,2017-07-01,2019-12-01
ST MARY'S MEDICAL CENTER,50457,CA,READM-30-PN-HRRP,270.0,nan,0.9683,15.6556,16.1676,40.0,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-AMI-HRRP,262.0,nan,1.0742,15.9626,14.8605,46.0,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-CABG-HRRP,179.0,nan,1.0959,13.9792,12.7561,27.0,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-COPD-HRRP,241.0,nan,1.0354,20.6916,19.9847,53.0,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-HF-HRRP,375.0,nan,1.1028,23.3295,21.1546,94.0,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0224,4.3971,4.3007,,2017-07-01,2019-12-01
DOCTORS MEDICAL CENTER,50464,CA,READM-30-PN-HRRP,367.0,nan,0.9722,16.6262,17.1016,59.0,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-AMI-HRRP,,nan,0.9527,19.4358,20.401,,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-COPD-HRRP,107.0,nan,1.047,24.8625,23.7467,31.0,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-HF-HRRP,111.0,nan,0.9856,24.324,24.679,26.0,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MEMORIAL HOSPITAL OF GARDENA,50468,CA,READM-30-PN-HRRP,170.0,nan,0.9837,19.553,19.8773,32.0,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-AMI-HRRP,92.0,nan,0.9794,16.5747,16.9228,14.0,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-CABG-HRRP,,nan,0.8754,11.7618,13.4358,,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-COPD-HRRP,70.0,nan,1.0313,21.6641,21.0068,18.0,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-HF-HRRP,336.0,nan,1.0178,22.5646,22.1689,77.0,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0528,5.2816,5.0169,,2017-07-01,2019-12-01
GOOD SAMARITAN HOSPITAL,50471,CA,READM-30-PN-HRRP,299.0,nan,1.0002,18.0549,18.0511,54.0,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-AMI-HRRP,136.0,nan,1.084,17.0431,15.7231,28.0,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-CABG-HRRP,,nan,1.1831,14.9275,12.6169,,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-COPD-HRRP,183.0,nan,1.0318,21.3874,20.7274,42.0,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-HF-HRRP,343.0,nan,1.1052,23.6961,21.4408,88.0,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0569,4.1173,3.8955,,2017-07-01,2019-12-01
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,READM-30-PN-HRRP,405.0,nan,1.1274,19.548,17.3392,88.0,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-AMI-HRRP,168.0,nan,1.0082,16.3763,16.2427,28.0,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-CABG-HRRP,,nan,0.9671,12.9458,13.3865,,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-COPD-HRRP,162.0,nan,1.0316,22.3074,21.624,39.0,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-HF-HRRP,391.0,nan,1.021,22.916,22.4448,91.0,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-HIP-KNEE-HRRP,373.0,nan,1.1122,5.1126,4.597,21.0,2017-07-01,2019-12-01
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,READM-30-PN-HRRP,310.0,nan,1.0464,19.5534,18.6866,64.0,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-AMI-HRRP,,nan,1.0005,19.4914,19.4809,,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-COPD-HRRP,105.0,nan,0.9524,20.4193,21.44,17.0,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-HF-HRRP,265.0,nan,1.074,23.8325,22.1903,68.0,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0548,3.7222,3.5287,,2017-07-01,2019-12-01
EDEN MEDICAL CENTER,50488,CA,READM-30-PN-HRRP,260.0,nan,1.0324,17.1933,16.6545,47.0,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-AMI-HRRP,94.0,nan,0.9658,13.8357,14.326,11.0,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-COPD-HRRP,167.0,nan,0.9947,18.8444,18.9456,31.0,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-HF-HRRP,386.0,nan,1.0839,21.4433,19.7829,88.0,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-HIP-KNEE-HRRP,156.0,nan,1.2063,5.5172,4.5736,12.0,2017-07-01,2019-12-01
CLOVIS COMMUNITY MEDICAL CENTER,50492,CA,READM-30-PN-HRRP,548.0,nan,0.9987,15.7098,15.7298,86.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-AMI-HRRP,232.0,nan,0.9691,15.4567,15.9504,34.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-CABG-HRRP,140.0,nan,0.859,12.3822,14.4145,14.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-COPD-HRRP,210.0,nan,0.9871,19.6027,19.8587,40.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-HF-HRRP,638.0,nan,0.9866,21.7698,22.0645,138.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-HIP-KNEE-HRRP,670.0,nan,0.8055,3.4108,4.2343,19.0,2017-07-01,2019-12-01
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,READM-30-PN-HRRP,430.0,nan,0.9841,16.5451,16.8117,70.0,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-COPD-HRRP,,nan,0.9161,16.1149,17.5906,,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-HF-HRRP,115.0,nan,0.8716,17.0852,19.602,11.0,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-HIP-KNEE-HRRP,,nan,0.8974,3.4963,3.8962,,2017-07-01,2019-12-01
SUTTER AUBURN FAITH HOSPITAL,50498,CA,READM-30-PN-HRRP,,nan,0.8497,12.4241,14.6225,,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-AMI-HRRP,158.0,nan,0.9712,13.7269,14.1341,20.0,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-COPD-HRRP,187.0,nan,1.071,21.3129,19.9002,46.0,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-HF-HRRP,452.0,nan,0.9216,19.3079,20.9511,82.0,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9494,3.5601,3.75,,2017-07-01,2019-12-01
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,50503,CA,READM-30-PN-HRRP,523.0,nan,0.9414,14.7688,15.6881,73.0,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-COPD-HRRP,,nan,0.9706,17.3004,17.8253,,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-HF-HRRP,74.0,nan,0.9732,18.5455,19.057,12.0,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-HIP-KNEE-HRRP,,nan,0.9257,2.9633,3.2012,,2017-07-01,2019-12-01
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-PN-HRRP,209.0,nan,1.0131,14.4045,14.2189,31.0,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL,50510,CA,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-COPD-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - FREMONT,50512,CA,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2017-07-01,2019-12-01
KAISER FOUNDATION HOSPITAL - SAN DIEGO,50515,CA,READM-30-PN-HRRP,,nan,1.0446,14.356,13.7434,,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-AMI-HRRP,223.0,nan,1.028,16.2997,15.8551,38.0,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-CABG-HRRP,,nan,0.9184,10.8495,11.8128,,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-COPD-HRRP,340.0,nan,0.9702,20.5139,21.1444,67.0,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-HF-HRRP,536.0,nan,0.915,19.5513,21.3687,99.0,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-HIP-KNEE-HRRP,244.0,nan,1.2092,4.7638,3.9398,15.0,2017-07-01,2019-12-01
MERCY SAN JUAN MEDICAL CENTER,50516,CA,READM-30-PN-HRRP,476.0,nan,0.9441,15.5691,16.4914,70.0,2017-07-01,2019-12-01
VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,READM-30-COPD-HRRP,,nan,1.0198,21.1896,20.7777,,2017-07-01,2019-12-01
VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,READM-30-HF-HRRP,49.0,nan,1.007,23.5252,23.3611,12.0,2017-07-01,2019-12-01
VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,READM-30-HIP-KNEE-HRRP,,nan,1.0691,4.9123,4.5949,,2017-07-01,2019-12-01
